\2022-12-13 16:34:58.721084 |    + 2 = 4
2022-12-13 19:52:36.670186 | 4 / 3 = 1.3333333333333333
2022-12-13 19:56:01.543349 | 0 -5 5 = 0
2022-12-16 12:09:40.990187 | 0 + 6 = 56
2022-12-16 12:19:44.753449 | 0 -0 3 = 0
2022-12-16 12:40:23.890572 | 0 - 1 = 4
2022-12-16 12:44:25.835062 | 3 - 4 = -1
2022-12-16 12:44:40.845731 | 3 - 1 = 2
2022-12-16 13:13:07.308220 | 4 - 3 = 1
2022-12-16 13:13:55.624076 | 4 - 4 = 0
2022-12-16 13:15:29.280152 | 4 - 3 = 1
2022-12-16 13:21:42.348244 | 4 - 3 = 1
2022-12-16 14:53:12.732439 | 3 - 2 = 1
2022-12-16 14:55:58.274179 | 2 + 2 = 4
2022-12-16 14:56:13.236119 | 4 - 3 - 1 = 0
2022-12-16 15:08:02.856959 | 4 - 4 = 0
2022-12-16 15:08:18.363773 | 3 - 4 - 5 - 4 = -10
2022-12-16 18:35:41.489901 | 1 + 1 = 2
2022-12-16 18:40:00.262487 | 1 + 1 = 2
2022-12-16 18:40:08.315912 | 1 + 1 + 1 = 4
2022-12-16 18:40:35.348106 | 1 + 1 + 1 + 1 = 6
2022-12-16 18:41:24.655908 | 1 + 1 + 1 = 4
2022-12-16 18:41:35.460633 | 1 + 1 + 1 = 4
2022-12-16 18:47:24.715223 | 1 + 2 + 3 = 4
2022-12-16 19:05:31.945352 | 1 + 1 + 1 = 3
2022-12-16 19:05:54.722519 | 1 + 1 + 1 = 3
2022-12-16 19:06:53.360874 | 2 + 2 + 3 = 7
2022-12-16 19:07:31.987597 | 1 + 2 + 3 = 6
2022-12-16 19:10:40.746059 | 1 + 1 + 1 + 1 = 2
2022-12-16 19:15:21.528126 | 1 * 10 / 2 = 1
2022-12-16 19:21:51.248599 | 1 + 1 = 1
2022-12-16 19:30:21.998992 | 2 + 2 = 4
2022-12-16 19:30:38.218167 | 2 / 2 = 1.0
2022-12-16 19:31:02.184438 | 2 - 2 * 2 = -2
2022-12-16 19:33:39.389152 | 1 + 1 - 2 + 40 = -40
2022-12-16 19:34:26.594032 | 2 - 2 + 40 = 40
2022-12-16 19:34:49.653095 | 2 + 2 - 2 + 40 = -38
2022-12-16 19:38:18.832322 | 1 + 1 - 1 = 1
2022-12-16 19:38:36.768579 | 20 + 10 - 30 = 0
2022-12-16 19:39:10.190651 | 20 - 80 + 60 = 0
2022-12-16 19:42:17.658611 | 2 * 3 / 2 = 3.0
2022-12-16 19:42:48.748425 | 2 * 2 - 10 + 6 = 0
2022-12-16 20:42:04.325798 | 1 - 1 = 0
2022-12-16 20:44:21.450613 | 1-1+1 = 1-1+1
2022-12-16 20:45:47.902023 | 1+1 = 1+1
2022-12-16 20:48:17.473555 | 1 - 1 = 0
2022-12-16 20:49:10.479455 | 1+1 = 1+1
2022-12-16 20:50:20.624131 | 1+1 = 1+1
2022-12-16 20:51:21.282394 | 1+3 = ['1+3']
2022-12-16 20:51:57.950266 | 1+3 = 1+3
2022-12-16 20:52:10.819538 | 1+2 = 1+2
2022-12-16 20:53:00.828046 | 1*17 = 1*17
2022-12-16 20:54:44.090871 | 1+1 = 1+1
2022-12-16 20:55:11.550468 | 1+1 = 1+1
2022-12-16 20:56:49.756534 | 1+1 = 1+1
2022-12-16 21:01:42.900496 | 1+1 = 1+1
2022-12-16 21:09:16.857889 | 1+1 = 1+1
2022-12-16 21:10:36.824045 | 1+1 = 1+1
2022-12-16 21:10:58.035812 | 1+1 = 1+1
2022-12-17 14:21:58.154662 | 1+1+1 = 3
2022-12-17 14:45:51.403003 | 1+4 = 5
2022-12-17 14:46:09.479215 | 1*4-4+7 = 7
